postcode;stedelijkheid;n;longitude;latitude
2156;5;11;4.6494728;52.2300324
2157;5;36;4.5991323;52.2240188
2158;5;14;4.560929;52.2215085
2159;5;17;4.567561899999999;52.21193820000001
2161;2,70846;319;4.5390443;52.2582886
2162;3,05056;178;4.5597352;52.24417949999999
2163;2,82813;64;4.5650765;52.2666055
2165;3,29577;71;4.5745501;52.2542562
2171;2,35849;265;5.291265999999999;52.132633
2172;2,52288;153;4.5366712;52.2237737
2181;2,57826;230;4.595528799999999;52.3013857
2182;2,88552;297;4.572175000000001;52.2996272
2191;5;50;4.542290299999999;52.29811549999999
2201;2,53106;322;4.4408403;52.2194329
2202;2,92674;273;4.427515400000001;52.23856230000001
2203;2,94068;118;4.4657791;52.2317986
2204;5;31;4.5010698;52.30768579999999
2211;3,3267;352;4.4998548;52.259788
2215;3,0177;339;4.4946966;52.2280401
2221;1,7614;285;4.4102653;52.2125964
2222;2,71429;7;4.4332012;52.202426
2223;2,1875;160;4.4172284;52.18440529999999
2224;1,78095;210;4.4060561;52.1861525
2225;1,88288;333;4.3938879;52.1919254
2231;2,40171;351;4.4504697;52.197786
2235;3,45299;117;4.4323689;52.1665528
2241;2,28906;256;4.4196634;52.1484196
2242;2,51361;294;4.3786965;52.1579215
2243;4,86957;115;4.362377599999999;52.1372617
2244;4,60526;76;4.3331203;52.1170822
2245;4,67241;58;4.402470399999999;52.1224859
2251;2,52555;274;4.4479153;52.1207815
2252;2,62963;162;4.4202577;52.1111932
2253;2,16346;208;4.4578084;52.14166880000001
2254;4,11111;9;4.4219431;52.1217577
2261;2,04878;123;4.3903821;52.0976984
2262;1,28037;107;4.385886999999999;52.08989769999999
2263;1,68345;139;4.4120868;52.100873
2264;1,32367;207;4.445034;51.5469523
2265;1,93269;104;4.4016728;52.08665389999999
2266;3,0915;153;4.446499999999999;52.09161229999999
2267;3,0625;16;4.3559008;52.0598103
2271;1,82514;183;4.370011799999999;52.0718988
2272;1,43721;215;4.3706813;52.0864785
2273;1;262;4.3615446;52.0801779
2274;1;302;4.3505874;52.0726169
2275;1,85217;115;4.3521668;52.0619392
2281;1,06164;146;4.3416333;52.0570183
2282;1,17308;312;4.334339;52.051978
2283;1,24118;170;4.3252257;52.04567729999999
2284;1;150;4.3161176;52.0393765
2285;1,11364;176;4.3041937;52.0358319
2286;1,47982;223;4.315475;52.0248062
2287;1,23729;118;4.3273982;52.028349
2288;2,85106;47;4.3365072;52.0346479
2289;3,02381;42;4.348027399999999;52.0355505
2291;2;284;4.275913000000001;52.0209416
2292;1,7931;58;4.2870064;52.01921230000001
2295;4,15596;109;4.261382999999999;52.01085699999999
2311;1;296;4.4882196;52.1577953
2312;1;383;4.4923299;52.1629565
2313;1,09603;302;4.4999459;52.1493732
2314;1,61194;134;4.5180546;52.1500105
2315;1;251;4.5086017;52.162336
2316;1,05166;271;4.496441799999999;52.16811790000001
2317;1,7716;324;4.5093401;52.1769334
2318;2,0396;101;4.5018441;52.1812088
2321;1,12705;244;4.4832557;52.1473501
2322;4,6;5;4.4968184;52.1401887
2323;3,2;5;4.482103;52.13011729999999
2324;1,35622;233;4.4730743;52.1450782
2331;1,95;240;4.4465059;52.1527279
2332;1,64186;215;4.462198799999999;52.158782
2333;2,80392;51;4.475075599999999;52.1676004
2334;2,41463;82;4.481025;52.1740226
2341;2,4084;262;4.472542199999999;52.1823226
2342;3,63333;30;4.4629141;52.1733791
2343;2,18712;326;4.4793487;52.1940338
2351;2,7415;147;4.5506014;52.14875989999999
2352;1,199;201;4.524877399999999;52.16171319999999
2353;2,17153;274;4.5345305;52.1706496
2355;5;48;4.575574599999999;52.161088
2361;4,0101;198;4.5173376;52.2058881
2362;5;7;4.5379939;52.1917941
2371;4,09406;202;4.619969;52.1912745
2374;5;30;4.5529892;52.1832368
2375;5;50;4.5836412;52.1900305
2376;5;26;4.605850999999999;52.2051289
2377;4,07619;105;4.6402743;52.214425
2381;4,34463;177;4.5148484;52.110268
2382;3,61176;85;4.52848;52.1336619
2391;4,34146;164;4.596757999999999;52.0911645
2394;3,96951;164;4.620669599999999;52.11679909999999
2396;4,00752;133;4.5981347;52.13894209999999
2401;2,20635;189;4.638996199999999;52.1479765
2402;1,10884;294;4.6770935;52.1597673
2403;1,83784;222;4.6874644;52.1434023
2404;2,39098;133;4.6400437;52.1346432
2405;1,24855;173;4.6601165;52.1272069
2406;1,55502;209;4.672636199999999;52.1333569
2407;4,77778;18;4.698847;52.1137109
2408;2,2716;243;4.6504189;52.1182876
2409;5;2;4.6477615;52.1024489
2411;2,78904;365;4.753009;52.0849705
2415;5;40;4.8051702;52.0828563
2421;4,23301;206;4.7825776;52.1422436
2431;5;40;4.8254662;52.1617711
2432;5;5;4.8553571;52.1725145
2435;5;68;4.802968400000001;52.1839695
2441;5;89;4.7524482;52.1966572
2445;5;35;4.728528799999999;52.1337881
2451;4,25225;111;4.6906421;52.2204189
2461;4,57339;218;4.7152449;52.1715465
2465;5;36;4.6739901;52.19979
2471;5;44;4.7268351;52.1046205
2481;5;95;4.6443093;52.1796789
2491;3;13;4.3876135;52.0699178
2492;2,84699;183;4.4126867;52.06367239999999
2493;3,16854;89;4.4035413;52.0573774
2495;2,92308;13;4.3610449;52.0563021
2496;2,34706;170;4.3713307;52.0492854
2497;2,33766;154;4.3631992;52.0389706
2498;3,35165;91;4.3831807;52.0315953
2511;1;105;4.3190482;52.07908630000001
2512;1;279;4.3052854;52.0742791
2513;1;191;4.299634999999999;52.0797955
2514;1,01418;141;4.310161799999999;52.084722
2515;1;244;4.3178146;52.0711662
2516;1;192;4.3414621;52.0663158
2517;1,01984;252;4.2865074;52.0895671
2518;1;262;4.289930399999999;52.0801488
2521;1;119;4.3198159;52.0631285
2522;1;343;4.3291074;52.0601333
2523;1;139;4.3180824;52.0572194
2524;1;184;4.3149385;52.0526894
2525;1;280;4.3032365;52.06108
2526;1;260;4.3076999;52.0688811
2531;1;201;4.3048307;52.0504046
2532;1;130;4.2943174;52.04548
2533;1;205;4.28726;52.0523718
2541;1;192;4.280986899999999;52.0433108
2542;1,16146;192;4.2704843;52.0383843
